target,database_names,status,file,display_name,organisation_identified,channel,source_url,reason
Bahrain Court of the Crown Prince,Bahrain Court of the Crown Prince,done,bahrain-coat-of-arms.png,Court of the Crown Prince,"Court of the Crown Prince, Kingdom of Bahrain",wikimedia,https://upload.wikimedia.org/wikipedia/commons/0/08/Coat_of_Arms_of_The_Kingdom_of_Bahrain.svg,"The Court's own crest-and-name lockup exists only in white (crownprince.bh footer-logo-en.svg), so the tile uses the national coat of arms. crownprince.bh also shows this crest in colour in its header. File is named generically so it can be reused for other Bahrain government bodies."
Bahrain Economic Development Board (EDB),Bahrain Economic Development Board (EDB); EDB Bahrain,failed,,Bahrain EDB,"Bahrain Economic Development Board, Bahrain",,,"The Wikipedia article has no logo and Commons searches were rate-limited or found nothing; bahrainedb.com only returns an AWS WAF human-verification page to automated requests, even with a browser user agent."
Bahrain Education and Training Quality Authority (BQA),Bahrain Education and Training Quality Authority (BQA); Bahrain Quality Assurance Authority for Education and Training,done,bqa.png,Education and Training Quality Authority,"Education and Training Quality Authority (BQA), Kingdom of Bahrain",official-site,https://784ec626.delivery.rocketcdn.me/wp-content/uploads/2024/10/BQA-Horizontal-Logo-with-Descriptor__BQA-Horizontal-Logo-with-Descriptor-2-e1728813697321.png,"Bilingual horizontal lockup from the site header (raster, 999px wide). The site's file named logo.png turned out to be the Bahrain SDGs 2030 mark and was discarded."
Bahrain GHQ Defense Force,Bahrain GHQ Defense Force,failed,,Bahrain Defence Force,"Bahrain Defence Force (General Command), Kingdom of Bahrain",,,"Commons has only BDF flags and no BDF emblem. The official site bdf.bh has the emblem-with-name only as a 392x360 raster (347px after trim), below the 400px minimum."
Bahrain National Holding,Bahrain National Holding,failed,,Bahrain National Holding,"Bahrain National Holding B.S.C. (BNH), Bahrain",,,"No Wikipedia article or Commons logo. The only logo on bnh.bh is a 175x70 PNG (too small), no SVG was found, and bnhgroup.com is unreachable."
Bank al Etihad,Bank al Etihad,done,bank-al-etihad.png,Bank al Etihad,"Bank al Etihad, Jordan",official-site,https://websitev3-cms-cdn.bankaletihad.com/2026/05/Lockup-Left-English.svg,"Current English left-aligned lockup from the site (dark charcoal, the brand's colourway). The CDN refused the helper's user agent, so the file was fetched with a browser user agent and passed as a local file. Wikipedia has no logo."
Bank of America,Bank of America,done,bank-of-america.png,Bank of America,"Bank of America Corporation, United States",wikimedia,https://upload.wikimedia.org/wikipedia/commons/2/20/Bank_of_America_logo.svg,
Baxter Healthcare,Baxter Healthcare,done,baxter.png,Baxter,"Baxter International Inc. (Baxter Healthcare), United States",wikimedia,https://upload.wikimedia.org/wikipedia/commons/d/d4/Baxter.svg,
Bazaarvoice,Bazaarvoice,done,bazaarvoice.png,Bazaarvoice,"Bazaarvoice, Inc., Austin, United States",official-site,https://www.bazaarvoice.com/,"Inline SVG from the site header (id=logo), saved locally. It is the b: speech-bubble symbol only; the site header and press page use only this symbol and no wordmark lockup was found. The Wikipedia logo is a 316px JPG (too small). Worth a visual check."
BirdLife Europe,BirdLife Europe,done,birdlife-europe.png,BirdLife Europe and Central Asia,"BirdLife Europe and Central Asia, Brussels, Belgium",official-site,https://www.birdlife.org/wp-content/uploads/2025/09/Europe-Central-Asia_Colour.png,Regional stacked lockup from birdlife.org (Commons only has the parent BirdLife International logo).
Bost (Ghana),Bost (Ghana),failed,,BOST,"Bulk Oil Storage and Transportation Company Ltd (BOST), Ghana",,,"The Wikipedia article (BOST Energies) has no logo. The official site bost.com.gh does not resolve (DNS failure, proxy 502), so its corporate-identity page could not be reached."
Botswana Public Officers Pension Fund,Botswana Public Officers Pension Fund,failed,,BPOPF,"Botswana Public Officers Pension Fund (BPOPF), Botswana",,,"No Wikipedia article. The only logo on bpopf.co.bw is a 256x215 favicon (symbol only, too small); no header logo file, SVG or press kit was found."
Breast International Group (BIG),Breast International Group (BIG),done,breast-international-group.png,Breast International Group,"Breast International Group (BIG), Brussels, Belgium",official-site,https://bigagainstbreastcancer.org/images/BIG-Logo.png,The Wikipedia article has no logo. Note: BIG announced in December 2025 that it will close by the end of 2026; this is the logo on its current site.
British Association of Dermatologists,British Association of Dermatologists,done,british-association-of-dermatologists.png,British Association of Dermatologists,"British Association of Dermatologists, United Kingdom",official-site,https://cdn.bad.org.uk/uploads/2025/01/15124016/badLogoHeader-adeac0616b85ca8f8c9d06bc740a04c3.svg,"Header lockup, which includes the tagline 'Healthy skin for all'. Wikipedia has no logo."
British College of Osteopathic Medicine,British College of Osteopathic Medicine,failed,,British College of Osteopathic Medicine,"British College of Osteopathic Medicine (BCOM, part of BCNO Group), London, United Kingdom",,,"On Wikipedia/Commons the only image is a photo of the building, not a logo. bcom.ac.uk has only white logos (bcom-logo-white.png and a white BCNO group strip), and no dark or colour variant could be found."
Asthma + Lung UK,British Lung Foundation,failed,,Asthma and Lung UK,"Asthma + Lung UK (successor to British Lung Foundation), United Kingdom",,,"The Wikipedia logo is a 320x304 PNG. On the official site the stacked logo is 320x304 and the horizontal logo 772x304 (321px after trim), with no SVG; all are below the 400px minimum."
Bruegel,Bruegel,done,bruegel.png,Bruegel,"Bruegel (economic think tank), Brussels, Belgium",official-site,https://www.bruegel.org/,"Inline stacked SVG from the site header (symbol plus 'bruegel' wordmark). It uses currentColor, which was set to black."
Brunei Civil Service Institute,Brunei Civil Service Institute,done,brunei-civil-service-institute.png,Civil Service Institute Brunei,"Institut Perkhidmatan Awam (Civil Service Institute), Prime Minister's Office, Brunei Darussalam",official-site,https://www.ipa.gov.bn/wp-content/uploads/2024/12/IPA-LOGO-WITH-JAWI-WEBSITE-BANNER-v4.png,"Official header lockup: state emblem, IPA crest, Jawi and Malay name. No Wikipedia logo."
Bulgaria Council of Ministers,Bulgaria Council of Ministers,done,bulgaria-council-of-ministers.png,Bulgaria Council of Ministers,Council of Ministers of the Republic of Bulgaria (Bulgaria),,,"The government has no mark of its own and gov.bg uses the national coat of arms. The library already has bulgaria-coat-of-arms.png, currently captioned 'Bulgaria Ministry of Environment and Water'."
Bunduq,Bunduq,done,bunduq.png,Bunduq,"Bunduq Oil Producing Company (Bunduq Company Ltd), Abu Dhabi, UAE",official-site,https://www.bunduq.com/images/logo.png,No Wikipedia page or Commons file; used the site header logo (1174x1224 PNG).
Bureau International des Expositions (BIE),Bureau International des Expositions (BIE),failed,,Bureau International des Expositions,"Bureau International des Expositions (BIE), Paris, France",,https://www.bie-paris.org/site/images/bie-logo.png,"The site uses a symbol-plus-name lockup, but only as a 183px PNG, and Commons has only the bare globe symbol (built, then deleted)."
CGI,CGI (Philippines),done,cgi.png,CGI,"CGI Inc. (Canada), parent of CGI Philippines",wikimedia,https://upload.wikimedia.org/wikipedia/commons/3/32/CGI_logo.svg,
CST,CITC; Communication and Information Technology Commission (CITC),done,cst.png,"Communications, Space and Technology Commission","Communications, Space and Technology Commission (CST), Saudi Arabia, formerly CITC",wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/c5/Cstlogo.svg,"Bilingual Arabic/English lockup. Its English line contains an ampersand, which is part of the logo artwork."
CNOOC,CNOOC,done,cnooc.png,CNOOC,"China National Offshore Oil Corporation (CNOOC), China; parent of CNOOC Uganda",wikimedia,https://upload.wikimedia.org/wikipedia/en/0/00/CNOOC_Logo.svg,
CPP Investment Board,CPP Investment Board,done,cpp-investments.png,CPP Investments,"Canada Pension Plan Investment Board (CPP Investments), Canada",wikimedia,https://upload.wikimedia.org/wikipedia/commons/0/0a/CPP_Investment_Board_Logo.svg,Current CPP Investments wordmark.
Cairn India,Cairn India,done,cairn-india.png,Cairn India,"Cairn India Limited (India), merged into Vedanta Limited",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Cairn_India_SVG_Logo.svg/1280px-Cairn_India_SVG_Logo.svg.png,"Last Cairn logo, which includes the tagline 'We Fuel Amazing'. Built from Wikimedia's 1280px PNG render because the SVG original stayed rate-limited. If the Vedanta parent logo is preferred, Commons has File:Vedanta Logo.svg."
Cambridge Consultants,Cambridge Consultants,done,cambridge-consultants.png,Cambridge Consultants,"Cambridge Consultants Ltd (United Kingdom), part of Capgemini Invent",official-site,https://www.cambridgeconsultants.com/wp-content/uploads/2023/07/cambridge-consultants-logo.png,Dark variant of the header lockup. It includes the line 'Part of Capgemini Invent'.
Camfil,Camfil,done,camfil.png,Camfil,"Camfil AB (Sweden), including Camfil Middle East",official-site,https://www.camfil.com/en/,"Inline header SVG from camfil.com, with currentColor set to the site's brand green #008457."
Canadian Embassy Croatia,Canadian Embassy Croatia,done,canada-coat-of-arms.png,Canadian Embassy Croatia,Embassy of Canada to Croatia (Government of Canada),wikimedia,https://upload.wikimedia.org/wikipedia/en/4/4f/Coat_of_arms_of_Canada.svg,Embassy uses the Canadian coat of arms. This rendering has the St Edward's Crown; Canada adopted a Tudor-crown version in 2023.
Canyon Ranch,Canyon Ranch Spa Club,done,canyon-ranch.png,Canyon Ranch,"Canyon Ranch (United States wellness resort brand), for Canyon Ranch Spa Club",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Canyon_Ranch_black.jpg/500px-Canyon_Ranch_black.jpg,"The 900px original was rate-limited, so this uses the 500px Wikimedia render of the same file; the logo is 455px wide after trimming. canyonranch.com blocked automated requests (406), so the mark could not be checked against the live site."
Capital Club,Capital Club,failed,,Capital Club Dubai,"Capital Club Dubai (business club in DIFC, UAE)",,https://capitalclubdubai.com/wp-content/uploads/2021/04/CC_Logo-white-01small-01-e1619435899850-2048x606.png,"The site only has a white logo; the dark version appears only inside a photo collage in the og:image, and Commons has no file."
Capital Markets Authority Kenya,Capital Markets Authority Kenya,failed,,Capital Markets Authority Kenya,"Capital Markets Authority (CMA), Kenya",,https://www.cma.or.ke/wp-content/uploads/2022/11/cma-logo-horizontal-1.png,"Both sources are below 400px: the Wikimedia file (234x215) and the site logos (392x101 and 151x138), with no SVG."
Caritas,Caritas,done,caritas.png,Caritas Internationalis,Caritas Internationalis (Vatican City),wikimedia,https://upload.wikimedia.org/wikipedia/en/b/b8/Caritas_Internationalis_SVG_logo.svg,Confederation lockup used because the member entry gives no country.
Catholic Relief Services,Catholic Relief Services,done,catholic-relief-services.png,Catholic Relief Services,"Catholic Relief Services (CRS), United States",official-site,https://www.crs.org/sites/default/files/2025/07/14/crs_logo-blue_0.png,Blue CRS lockup (symbol plus CRS) from the site header. The version with the full name spelled out exists only as a white 200px PNG.
Central Arriyadh Development Company (CADC),Central Arriyadh Development Company (CADC); Riyadh Central Ar Development Company (CADC),failed,,Central Arriyadh Development Company,"Central Arriyadh Development Company (CADC), a PIF-backed Riyadh developer, Saudi Arabia",,,"Identity unclear: no official site or logo could be found. Candidates are a PIF-backed firm listed at Al-Nakheel, Riyadh, the listed Arriyadh Development Co (ARDCO) and Riyadh Development Company (riyadh.dev)."
Central Bank of Kenya,Central Bank of Kenya,failed,,Central Bank of Kenya,"Central Bank of Kenya, Kenya",,https://www.centralbank.go.ke/wp-content/uploads/2016/09/NewLogoCBK.png,"Both sources are below 400px: the Wikipedia logo (354x281) and the site logo (208x171), with no SVG."
Central Bank of Oman,Central Bank of Oman,failed,,Central Bank of Oman,"Central Bank of Oman, Oman",,https://upload.wikimedia.org/wikipedia/commons/7/7c/Central_Bank_of_Oman_logo.png,"The Wikimedia logo is only 182x183, and cbo.gov.om could not be reached from here."
Central Bank of the Bahamas,Central Bank of the Bahamas,done,central-bank-of-the-bahamas.png,Central Bank of The Bahamas,"Central Bank of The Bahamas, Bahamas",official-site,https://cdn.centralbankbahamas.com/tenantcbob_prod/assets/images/upimages/logo-1771231681-KYPsDe.png,"Raster is 470x200, just over the size minimum. The Wikipedia file was too small (317px)."
Chalhoub Group,Chalhoub Group; MCT FZE Chaloub Group,failed,,Chalhoub Group,"Chalhoub Group (Dubai, UAE)",,https://www.chalhoubgroup.com/Content/images/logo.png,"The navy tughra header logo is only 323x298, the bilingual wordmark on the site is white-only, and Commons has no file."
Chartered Institute of Legal Executives,Chartered Institute of Legal Executives,done,cilex.png,CILEX,"Chartered Institute of Legal Executives (CILEX), United Kingdom",official-site,https://www.cilex.org.uk/wp-content/uploads/CILEX-Logo.png,Commons file CILEX_Logo_in_Full_Colour.png kept returning 429; used the official site's large transparent PNG (2953px) of the same mark.
Chiesi Group,Chiesi Group,done,chiesi.png,Chiesi,"Chiesi Farmaceutici S.p.A. (Chiesi Group), Italy",official-site,https://www.chiesi.com/assets/img/logo/logo-chiesi.svg,"The Commons SVG stayed rate-limited (429), so the official site's SVG was used instead."
Cicero Consulting,Cicero Consulting,done,h-advisors.png,H/Advisors,"Cicero Consulting Ltd (Cicero Group), UK, now H/Advisors Cicero, part of Havas's H/Advisors UK",official-site,https://uk.h-advisors.global/wp-content/uploads/sites/32/2025/01/logo-hadvisors-light-mode.png,"Treated as a successor: cicero-group.com now redirects to uk.h-advisors.global, which shows only the generic H/Advisors wordmark (there is no Cicero-specific lockup). The source is a raster only 436px wide. Will may prefer to caption it H/Advisors Cicero."
